id	name	bpm	artist	duration_ms	external_url
18Qu2MK93VADxqHFYctpql	Scotch & Soda	107.67	Lou Rawls	178626	https://open.spotify.com/track/18Qu2MK93VADxqHFYctpql
3K9r4PHhxpoEEbwhfxuJ0d	Manoir de mes rêves	95.70	Django Reinhardt	199573	https://open.spotify.com/track/3K9r4PHhxpoEEbwhfxuJ0d
3U5ApDR06OdJr2nnYNvLW8	Save It Pretty Mamma	80.75	Lionel Hampton And His Orchestra	204973	https://open.spotify.com/track/3U5ApDR06OdJr2nnYNvLW8
4bqhYJmwhN61JzesJwnB8p	Si tu vois ma mère	0.0	Sidney Bechet	193440	https://open.spotify.com/track/4bqhYJmwhN61JzesJwnB8p
6CUFOACwxG1FvQPCCT9oOF	Pallet	80.75	Tin Pan	308066	https://open.spotify.com/track/6CUFOACwxG1FvQPCCT9oOF
05rQYWtIEzFHIZlPkc1SXO	Meet Me Where They Play the Blues - 2014 Remastered Version	89.10	Jack Teagarden	229360	https://open.spotify.com/track/05rQYWtIEzFHIZlPkc1SXO
6LbZi9dFSVIIV98weFr68k	After Tonight (09-01-33)	107.67	Clarence Williams	187133	https://open.spotify.com/track/6LbZi9dFSVIIV98weFr68k
2DRLZgWS8COYWAYAyNPg7e	I Can't Face the Music	0.0	Teddy Wilson	181466	https://open.spotify.com/track/2DRLZgWS8COYWAYAyNPg7e
74iRIrkwrztdx4s6yjWzbF	New Year Blues	0.0	The Glenn Crytzer Orchestra	340640	https://open.spotify.com/track/74iRIrkwrztdx4s6yjWzbF
3ug6VUqmjWdjQkL6fmWLcl	I Can't Give You Anything but Love	95.70	Fats Waller	175733	https://open.spotify.com/track/3ug6VUqmjWdjQkL6fmWLcl
5ppaSKK1UCqe4s9fL9T8Nu	Wabash Blues	86.13	Sidney Bechet	185173	https://open.spotify.com/track/5ppaSKK1UCqe4s9fL9T8Nu
744kYsIgyu3bJ67crqBaVW	I Gotta Right to Sing the Blues	99.38	Maxine Sullivan	167400	https://open.spotify.com/track/744kYsIgyu3bJ67crqBaVW
47PeU7a1eNH0pEqaZ8zYic	Easy Living	103.36	Lester's Blues	163413	https://open.spotify.com/track/47PeU7a1eNH0pEqaZ8zYic
2FcyKVtFO1di32rIgeo5zg	Body And Soul	89.10	Benny Goodman	192800	https://open.spotify.com/track/2FcyKVtFO1di32rIgeo5zg
1ktPNawrtTZCPtZAeaMfJo	Mood Indigo	103.36	Jimmie Lunceford	172800	https://open.spotify.com/track/1ktPNawrtTZCPtZAeaMfJo
56bBGdi28eEZqvIHZ8kktB	Indian Summer	107.67	Sidney Bechet	188880	https://open.spotify.com/track/56bBGdi28eEZqvIHZ8kktB
5v5cyQcrnRLGwo5WLVl8ag	Mighty Like the Blues	86.13	Lou Hurst	165960	https://open.spotify.com/track/5v5cyQcrnRLGwo5WLVl8ag
4WilSK8Cj1hFxKINbXMjB8	(What I Did To Be So) Black And Blue	112.35	Muggsy Spanier	160040	https://open.spotify.com/track/4WilSK8Cj1hFxKINbXMjB8
3KpiGSpVLx2vDiQHpzQEfI	The Mermaid	95.70	Gaucho	263440	https://open.spotify.com/track/3KpiGSpVLx2vDiQHpzQEfI
3r66j2nep0ZznBCzWqJZGh	Burgundy Street Blues	78.30	Southside Aces	221937	https://open.spotify.com/track/3r66j2nep0ZznBCzWqJZGh
1rs4ulGl3V1w8kKs72zTqn	I Didn't Know What Time It Was	0.0	George Shearing	275786	https://open.spotify.com/track/1rs4ulGl3V1w8kKs72zTqn
3rPHZdvsRgSOZw12GalhYX	Sun Is Shining - Vintage Demix	0.0	Flash Mob Jazz	203809	https://open.spotify.com/track/3rPHZdvsRgSOZw12GalhYX
