id	name	bpm	artist	duration_ms	external_url	
05kXmur7fWgwTkf1choNag	Mister New Orleans Blues Inedit	78.3	Maxim Saury	423080	https://open.spotify.com/track/05kXmur7fWgwTkf1choNag	
2HcyGVLMRGBvJUCh4Ga8aP	Makin' Whoopee	78.3	The Bourbon Street Stompers	357506	https://open.spotify.com/track/2HcyGVLMRGBvJUCh4Ga8aP	
4GZ144K0pDNhTFFFscfvTc	Song of the Wanderer	78.3	Kid Ory	594253	https://open.spotify.com/track/4GZ144K0pDNhTFFFscfvTc	
2owMqHIuecYLT57nt2jQea	Blue Turning Grey Over You	79	Louis Armstrong	293466	https://open.spotify.com/track/2owMqHIuecYLT57nt2jQea	
6fEtL5MfpiG8WqlaA1O7Zu	Sweet Lorraine - Remastered 1999	80	Nat King Cole	276440	https://open.spotify.com/track/6fEtL5MfpiG8WqlaA1O7Zu	
0JwPDu04a32iQa2PU6ipBn	Buddy Bolden's Blues	80.75	Hugh Laurie	192800	https://open.spotify.com/track/0JwPDu04a32iQa2PU6ipBn	
3U5ApDR06OdJr2nnYNvLW8	Save It Pretty Mamma	80.75	Lionel Hampton And His Orchestra	204973	https://open.spotify.com/track/3U5ApDR06OdJr2nnYNvLW8	
33AaB051J4ZoXBfMsFn7hV	Open Door	80.75	Lisa Ekdahl	210653	https://open.spotify.com/track/33AaB051J4ZoXBfMsFn7hV	
3jv56E2TwVqWdLjkdPSxwu	Blues of the Roaring Twenties	80.75	Sidney Bechet	243373	https://open.spotify.com/track/3jv56E2TwVqWdLjkdPSxwu	
6CUFOACwxG1FvQPCCT9oOF	Pallet	80.75	Tin Pan	308066	https://open.spotify.com/track/6CUFOACwxG1FvQPCCT9oOF	
1aU0a8dUMB1Qi0A3gGlb0L	If	80.75	Kat Edmonson	188853	https://open.spotify.com/track/1aU0a8dUMB1Qi0A3gGlb0L	
3IzmjtSDG6DcaqauQL2aQA	The Moon Of Manakoora	80.75	Janet Seidel	190826	https://open.spotify.com/track/3IzmjtSDG6DcaqauQL2aQA	
6tCZxzjKMiWWemIqlJjoIK	Meet Me with Your Black Drawers On	80.75	Girls from Mars	228586	https://open.spotify.com/track/6tCZxzjKMiWWemIqlJjoIK	
6etqmcGxjIR7A33FywhSiI	WEST END BLUES	80.75	Frankie Laine	160250	https://open.spotify.com/track/6etqmcGxjIR7A33FywhSiI	
1iTdc2bjDaGMZcXcEe9Q5U	East St. Louis Toodle-o	83	Duke Ellington	212466	https://open.spotify.com/track/1iTdc2bjDaGMZcXcEe9Q5U	
4HNqPqY1buwfOKPrbki3DR	Harlem Noctune	83.35	Johnny Otis	188400	https://open.spotify.com/track/4HNqPqY1buwfOKPrbki3DR	
4C3suKORDPAZyJcgsxmJ45	Music to Love By - 2014 Remastered Version	83.35	Jack Teagarden	134600	https://open.spotify.com/track/4C3suKORDPAZyJcgsxmJ45	
